Date,Date,Open,High,Low,Close,Adj Close,Volume,weekly_bias,week_high_low_day
2007-09-17,2007-09-17,4518.4501953125,4855.7001953125,4481.5498046875,4837.5498046875,4837.5498046875,0,1.0,Tuesday
2007-09-24,2007-09-24,4837.14990234375,5055.7998046875,4837.14990234375,5021.35009765625,5021.35009765625,0,1.0,Monday
2007-10-01,2007-10-01,5021.5,5261.35009765625,5001.35009765625,5185.85009765625,5185.85009765625,0,1.0,Monday
2007-10-08,2007-10-08,5186.25,5549.2998046875,5000.9501953125,5428.25,5428.25,0,1.0,Tuesday
2007-10-15,2007-10-15,5428.35009765625,5736.7998046875,5101.75,5215.2998046875,5215.2998046875,0,-1.0,Thursday
2007-10-22,2007-10-22,5202.75,5716.89990234375,5070.89990234375,5702.2998046875,5702.2998046875,0,1.0,Monday
2007-10-29,2007-10-29,5708.89990234375,6011.9501953125,5708.89990234375,5932.39990234375,5932.39990234375,0,1.0,Monday
2007-11-05,2007-11-05,5931.89990234375,5957.2001953125,5614.89990234375,5663.25,5663.25,0,-1.0,Tuesday
2007-11-12,2007-11-12,5660.60009765625,5966.9501953125,5477.5,5906.85009765625,5906.85009765625,0,1.0,Monday
2007-11-19,2007-11-19,5908.0498046875,5981.7998046875,5394.35009765625,5608.60009765625,5608.60009765625,0,-1.0,Monday
2007-11-26,2007-11-26,5611.2998046875,5782.5498046875,5595.5,5762.75,5762.75,0,1.0,Wednesday
2007-12-03,2007-12-03,5765.4501953125,6042.10009765625,5754.60009765625,5974.2998046875,5974.2998046875,0,1.0,Monday
2007-12-10,2007-12-10,5974.0,6185.39990234375,5923.35009765625,6047.7001953125,6047.7001953125,0,1.0,Monday
2007-12-17,2007-12-17,6037.9501953125,6039.9501953125,5676.7001953125,5766.5,5766.5,0,-1.0,Monday
2007-12-24,2007-12-24,5771.2998046875,6110.85009765625,5771.2998046875,6079.7001953125,6079.7001953125,0,1.0,Monday
2007-12-31,2007-12-31,6095.0,6300.0498046875,6060.85009765625,6274.2998046875,6274.2998046875,0,1.0,Wednesday
2008-01-07,2008-01-07,6271.0,6357.10009765625,6112.5498046875,6200.10009765625,6200.10009765625,0,-1.0,Tuesday
2008-01-14,2008-01-14,6208.7998046875,6260.4501953125,5677.0,5705.2998046875,5705.2998046875,0,-1.0,Tuesday
2008-01-21,2008-01-21,5705.0,5705.0,4448.5,5383.35009765625,5383.35009765625,0,-1.0,Monday
2008-01-28,2008-01-28,5380.9501953125,5391.60009765625,5071.0,5317.25,5317.25,0,-1.0,Tuesday
2008-02-04,2008-02-04,5315.5498046875,5545.2001953125,5034.25,5120.35009765625,5120.35009765625,0,-1.0,Monday
2008-02-11,2008-02-11,5120.5498046875,5315.39990234375,4803.60009765625,5302.89990234375,5302.89990234375,0,1.0,Monday
2008-02-18,2008-02-18,5304.4501953125,5368.4501953125,5092.7998046875,5110.75,5110.75,0,-1.0,Tuesday
